Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
P0DPK4,NT2NC_HUMAN,NOTCH2NLC,sp|P0DPK4|NT2NC_HUMAN,Notch homolog 2 N-terminal-like protein C,293,Homo sapiens,1:Experimental evidence at protein level,0.9908,0.9986,0.0,14.828578154570778,-14.828578154570778,4 h
Q9Y2R5,RT17_HUMAN,MRPS17,sp|Q9Y2R5|RT17_HUMAN,"28S ribosomal protein S17, mitochondrial",130,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.821296969593666,-14.821296969593666,4 h
Q8IXJ6,SIR2_HUMAN,SIRT2,sp|Q8IXJ6|SIR2_HUMAN,NAD-dependent protein deacetylase sirtuin-2,389,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.811207079285232,-14.811207079285232,4 h
Q96DF8,ESS2_HUMAN,ESS2,sp|Q96DF8|ESS2_HUMAN,Splicing factor ESS-2 homolog,476,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.80228529514611,-14.80228529514611,4 h
Q14764,MVP_HUMAN,MVP,sp|Q14764|MVP_HUMAN,Major vault protein,893,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.786789511947129,-14.786789511947129,4 h
P83111,LACTB_HUMAN,LACTB,sp|P83111|LACTB_HUMAN,"Serine beta-lactamase-like protein LACTB, mitochondrial",547,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.760116726310127,-14.760116726310127,4 h
Q6IA69,NADE_HUMAN,NADSYN1,sp|Q6IA69|NADE_HUMAN,Glutamine-dependent NAD(+) synthetase,706,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.745204666656788,-14.745204666656788,4 h
Q6P1R4,DUS1L_HUMAN,DUS1L,sp|Q6P1R4|DUS1L_HUMAN,tRNA-dihydrouridine(16/17) synthase [NAD(P)(+)]-like,473,Homo sapiens,1:Experimental evidence at protein level,0.9905,0.999,0.0,14.733469540328267,-14.733469540328267,4 h
Q9BSB4,ATGA1_HUMAN,ATG101,sp|Q9BSB4|ATGA1_HUMAN,Autophagy-related protein 101,218,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.727920236796376,-14.727920236796376,4 h
O75427,LRCH4_HUMAN,LRCH4,sp|O75427|LRCH4_HUMAN,Leucine-rich repeat and calponin homology domain-containing protein 4,683,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.724446705859839,-14.724446705859839,4 h
Q8WTW3,COG1_HUMAN,COG1,sp|Q8WTW3|COG1_HUMAN,Conserved oligomeric Golgi complex subunit 1,980,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.719069559775031,-14.719069559775031,4 h
Q14554,PDIA5_HUMAN,PDIA5,sp|Q14554|PDIA5_HUMAN,Protein disulfide-isomerase A5,519,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.71300400923766,-14.71300400923766,4 h
P37235,HPCL1_HUMAN,HPCAL1,sp|P37235|HPCL1_HUMAN,Hippocalcin-like protein 1,193,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.710822975240424,-14.710822975240424,4 h
O96005,CLPT1_HUMAN,CLPTM1,sp|O96005|CLPT1_HUMAN,Putative lipid scramblase CLPTM1,669,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.691057863111133,-14.691057863111133,4 h
Q9H3F6,BACD3_HUMAN,KCTD10,sp|Q9H3F6|BACD3_HUMAN,BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 3,313,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.627083551893104,-14.627083551893104,4 h
P0DPB5,RPC22_HUMAN,POLR1D,sp|P0DPB5|RPC22_HUMAN,"Protein POLR1D, isoform 2",122,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,0.0,14.622075906095727,-14.622075906095727,4 h
Q99719,SEPT5_HUMAN,SEPTIN5,sp|Q99719|SEPT5_HUMAN,Septin-5,369,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.592308640015219,-14.592308640015219,4 h
O15234,CASC3_HUMAN,CASC3,sp|O15234|CASC3_HUMAN,Protein CASC3,703,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.587842664829054,-14.587842664829054,4 h
O15504,NUP42_HUMAN,NUP42,sp|O15504|NUP42_HUMAN,Nucleoporin NUP42,423,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.999,0.0,14.581355422644766,-14.581355422644766,4 h
Q9H0F7,ARL6_HUMAN,ARL6,sp|Q9H0F7|ARL6_HUMAN,ADP-ribosylation factor-like protein 6,186,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.547670552917687,-14.547670552917687,4 h
Q6P9B9,INT5_HUMAN,INTS5,sp|Q6P9B9|INT5_HUMAN,Integrator complex subunit 5,1019,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.532331104139034,-14.532331104139034,4 h
