Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
A1KXE4,F168B_HUMAN,FAM168B,sp|A1KXE4|F168B_HUMAN,Myelin-associated neurite-outgrowth inhibitor,195,Homo sapiens,1:Experimental evidence at protein level,0.982,0.999,15.636235291829596,0.0,15.636235291829596,0 min
A1L020,MEX3A_HUMAN,MEX3A,sp|A1L020|MEX3A_HUMAN,RNA-binding protein MEX3A,520,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
A1L0T0,HACL2_HUMAN,ILVBL,sp|A1L0T0|HACL2_HUMAN,2-hydroxyacyl-CoA lyase 2,632,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.726882133806008,15.606142549348847,-0.8792604155428396,0 min
A1X283,SPD2B_HUMAN,SH3PXD2B,sp|A1X283|SPD2B_HUMAN,SH3 and PX domain-containing protein 2B,911,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.397679846532862,0.0,15.397679846532862,0 min
A2RRP1,NBAS_HUMAN,NBAS,sp|A2RRP1|NBAS_HUMAN,NBAS subunit of NRZ tethering complex,2371,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.80704131112213,14.206921326208873,0.6001199849132579,0 min
A2RU67,F234B_HUMAN,FAM234B,sp|A2RU67|F234B_HUMAN,Protein FAM234B,622,Homo sapiens,1:Experimental evidence at protein level,0.9983,0.9989,0.0,0.0,0.0,0 min
A3KMH1,VWA8_HUMAN,VWA8,sp|A3KMH1|VWA8_HUMAN,von Willebrand factor A domain-containing protein 8,1905,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.819700312031342,-13.819700312031342,0 min
A4D1E9,GTPBA_HUMAN,GTPBP10,sp|A4D1E9|GTPBA_HUMAN,GTP-binding protein 10,387,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.562891288291874,-14.562891288291874,0 min
A4D1P6,WDR91_HUMAN,WDR91,sp|A4D1P6|WDR91_HUMAN,WD repeat-containing protein 91,747,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.066138479453363,-14.066138479453363,0 min
A5A3E0,POTEF_HUMAN,POTEF,sp|A5A3E0|POTEF_HUMAN,POTE ankyrin domain family member F,1075,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
A5D8V6,VP37C_HUMAN,VPS37C,sp|A5D8V6|VP37C_HUMAN,Vacuolar protein sorting-associated protein 37C,355,Homo sapiens,1:Experimental evidence at protein level,0.9995,0.999,0.0,13.078271082915718,-13.078271082915718,0 min
A5YKK6,CNOT1_HUMAN,CNOT1,sp|A5YKK6|CNOT1_HUMAN,CCR4-NOT transcription complex subunit 1,2376,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.488159135784112,15.97785890248452,0.5103002332995921,0 min
A6NC98,CC88B_HUMAN,CCDC88B,sp|A6NC98|CC88B_HUMAN,Coiled-coil domain-containing protein 88B,1476,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9979,0.0,18.551165406765797,-18.551165406765797,0 min
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,sp|A6NCE7|MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2,125,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.007427339346425,14.996658977519955,2.01076836182647,0 min
A6NDG6,PGP_HUMAN,PGP,sp|A6NDG6|PGP_HUMAN,Glycerol-3-phosphate phosphatase,321,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.097067550645951,14.715314798101451,0.38175275254450014,0 min
A6NDU8,RIMC1_HUMAN,RIMOC1,sp|A6NDU8|RIMC1_HUMAN,RAB7A-interacting MON1-CCZ1 complex subunit 1,294,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.24683425189062,-14.24683425189062,0 min
A6NED2,RCCD1_HUMAN,RCCD1,sp|A6NED2|RCCD1_HUMAN,RCC1 domain-containing protein 1,376,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.295419193427447,-13.295419193427447,0 min
A6NHR9,SMHD1_HUMAN,SMCHD1,sp|A6NHR9|SMHD1_HUMAN,Structural maintenance of chromosomes flexible hinge domain-containing protein 1,2005,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.002253330908568,14.814131703491459,0.18812162741710914,0 min
A6NHT5,HMX3_HUMAN,HMX3,sp|A6NHT5|HMX3_HUMAN,Homeobox protein HMX3,357,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
A6NHX0,CAST2_HUMAN,CASTOR2,sp|A6NHX0|CAST2_HUMAN,Cytosolic arginine sensor for mTORC1 subunit 2,329,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.662963436998417,13.7938484450108,0.8691149919876171,0 min
A6NIH7,U119B_HUMAN,UNC119B,sp|A6NIH7|U119B_HUMAN,Protein unc-119 homolog B,251,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.963860747021213,14.690339501268157,0.2735212457530558,0 min
A6NJ78,MET15_HUMAN,METTL15,sp|A6NJ78|MET15_HUMAN,12S rRNA N4-methylcytidine (m4C) methyltransferase,407,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,13.455151882127785,13.761505212564254,-0.30635333043646895,0 min
A6NKF1,SAC31_HUMAN,SAC3D1,sp|A6NKF1|SAC31_HUMAN,SAC3 domain-containing protein 1,404,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,0.0,13.946119392793273,-13.946119392793273,0 min
A8MT69,CENPX_HUMAN,CENPX,sp|A8MT69|CENPX_HUMAN,Centromere protein X,81,Homo sapiens,1:Experimental evidence at protein level,0.9991,0.999,14.417378789157027,14.172746735236752,0.24463205392027554,0 min
A9UHW6,MI4GD_HUMAN,MIF4GD,sp|A9UHW6|MI4GD_HUMAN,MIF4G domain-containing protein,222,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.568143171706167,-15.568143171706167,0 min
B0I1T2,MYO1G_HUMAN,MYO1G,sp|B0I1T2|MYO1G_HUMAN,Unconventional myosin-Ig,1018,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.947462685478804,16.13613842404796,0.811324261430844,0 min
B2RPK0,HGB1A_HUMAN,HMGB1P1,sp|B2RPK0|HGB1A_HUMAN,Putative high mobility group protein B1-like 1,211,Homo sapiens,5:Protein uncertain,1.0,0.999,0.0,0.0,0.0,0 min
B5MCN3,S14L6_HUMAN,SEC14L6,sp|B5MCN3|S14L6_HUMAN,Putative SEC14-like protein 6,397,Homo sapiens,5:Protein uncertain,1.0,0.9987,0.0,0.0,0.0,0 min
C4AMC7,WASH3_HUMAN,WASH3P,sp|C4AMC7|WASH3_HUMAN,Putative WAS protein family homolog 3,463,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.219170298110681,13.225100466240276,1.994069831870405,0 min
C9JLW8,MCRI1_HUMAN,MCRIP1,sp|C9JLW8|MCRI1_HUMAN,Mapk-regulated corepressor-interacting protein 1,97,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.068691801005187,15.118104014918993,0.950587786086194,0 min
E9PAV3,NACAM_HUMAN,NACA,sp|E9PAV3|NACAM_HUMAN,"Nascent polypeptide-associated complex subunit alpha, muscle-specific form",2078,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,19.054711884433196,18.198213366699804,0.8564985177333924,0 min
E9PRG8,CK098_HUMAN,C11orf98,sp|E9PRG8|CK098_HUMAN,Uncharacterized protein C11orf98,123,Homo sapiens,4:Protein predicted,1.0,0.999,14.962671696164541,14.959463853871249,0.0032078422932926287,0 min
L0R6Q1,S35U4_HUMAN,SLC35A4,sp|L0R6Q1|S35U4_HUMAN,SLC35A4 upstream open reading frame protein,103,Homo sapiens,3:Protein inferred from homology,1.0,0.999,16.07340876270598,14.82928401378765,1.2441247489183311,0 min
L0R819,ASURF_HUMAN,ASDURF,sp|L0R819|ASURF_HUMAN,ASNSD1 upstream open reading frame protein,96,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.112045627898974,13.380814119603167,1.7312315082958065,0 min
L0R8F8,MIDUO_HUMAN,MIEF1,sp|L0R8F8|MIDUO_HUMAN,MIEF1 upstream open reading frame protein,70,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.67257489669947,-14.67257489669947,0 min
O00116,ADAS_HUMAN,AGPS,sp|O00116|ADAS_HUMAN,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",658,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.16890143796684,15.34133923962229,0.8275621983445518,0 min
O00148,DX39A_HUMAN,DDX39A,sp|O00148|DX39A_HUMAN,ATP-dependent RNA helicase DDX39A,427,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.813410701641647,16.69455778665283,0.11885291498881756,0 min
O00151,PDLI1_HUMAN,PDLIM1,sp|O00151|PDLI1_HUMAN,PDZ and LIM domain protein 1,329,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.393552516894527,15.205530584137916,1.1880219327566106,0 min
O00161,SNP23_HUMAN,SNAP23,sp|O00161|SNP23_HUMAN,Synaptosomal-associated protein 23,211,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.371846055354073,15.076782618401847,1.2950634369522263,0 min
O00165,HAX1_HUMAN,HAX1,sp|O00165|HAX1_HUMAN,HCLS1-associated protein X-1,279,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.712928349999729,-14.712928349999729,0 min
O00170,AIP_HUMAN,AIP,sp|O00170|AIP_HUMAN,AH receptor-interacting protein,330,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.445578692690884,16.022279809414947,0.4232988832759368,0 min
O00178,GTPB1_HUMAN,GTPBP1,sp|O00178|GTPB1_HUMAN,GTP-binding protein 1,669,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.943347337904672,15.75982916172651,1.183518176178163,0 min
O00186,STXB3_HUMAN,STXBP3,sp|O00186|STXB3_HUMAN,Syntaxin-binding protein 3,592,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.61054672159778,15.0923472787055,0.5181994428922803,0 min
O00189,AP4M1_HUMAN,AP4M1,sp|O00189|AP4M1_HUMAN,AP-4 complex subunit mu-1,453,Homo sapiens,1:Experimental evidence at protein level,0.9994,0.9984,0.0,14.891882315647186,-14.891882315647186,0 min
O00193,SMAP_HUMAN,SMAP,sp|O00193|SMAP_HUMAN,Small acidic protein,183,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.589406834306324,15.944425881675896,-0.3550190473695718,0 min
O00217,NDUS8_HUMAN,NDUFS8,sp|O00217|NDUS8_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",210,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.269822247913037,14.92370621744041,1.3461160304726274,0 min
O00231,PSD11_HUMAN,PSMD11,sp|O00231|PSD11_HUMAN,26S proteasome non-ATPase regulatory subunit 11,422,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,18.068584747077672,17.39296620116249,0.6756185459151816,0 min
O00232,PSD12_HUMAN,PSMD12,sp|O00232|PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12,456,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.797583069579193,15.191220721926895,1.6063623476522988,0 min
O00233,PSMD9_HUMAN,PSMD9,sp|O00233|PSMD9_HUMAN,26S proteasome non-ATPase regulatory subunit 9,223,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.417693327169047,15.507871429958374,0.9098218972106729,0 min
O00244,ATOX1_HUMAN,ATOX1,sp|O00244|ATOX1_HUMAN,Copper transport protein ATOX1,68,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.80872433407465,15.772386155267041,1.0363381788076094,0 min
O00257,CBX4_HUMAN,CBX4,sp|O00257|CBX4_HUMAN,E3 SUMO-protein ligase CBX4,560,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.800568174348482,14.113057928087027,1.6875102462614553,0 min
O00264,PGRC1_HUMAN,PGRMC1,sp|O00264|PGRC1_HUMAN,Membrane-associated progesterone receptor component 1,195,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.331776390005864,15.513388221731761,1.8183881682741028,0 min
O00267,SPT5H_HUMAN,SUPT5H,sp|O00267|SPT5H_HUMAN,Transcription elongation factor SPT5,1087,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.674614270871166,16.082888540773425,-0.40827426990225923,0 min
O00268,TAF4_HUMAN,TAF4,sp|O00268|TAF4_HUMAN,Transcription initiation factor TFIID subunit 4,1085,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.529527552116486,-14.529527552116486,0 min
O00273,DFFA_HUMAN,DFFA,sp|O00273|DFFA_HUMAN,DNA fragmentation factor subunit alpha,331,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.601312214238806,15.834512133814426,-1.23319991957562,0 min
O00287,RFXAP_HUMAN,RFXAP,sp|O00287|RFXAP_HUMAN,Regulatory factor X-associated protein,272,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,13.101591809183207,13.146943778594702,-0.04535196941149522,0 min
O00299,CLIC1_HUMAN,CLIC1,sp|O00299|CLIC1_HUMAN,Chloride intracellular channel protein 1,241,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,19.59920550452341,16.454484856433066,3.1447206480903453,0 min
O00303,EIF3F_HUMAN,EIF3F,sp|O00303|EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F,357,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.373628841627497,15.388112968382368,0.985515873245129,0 min
O00311,CDC7_HUMAN,CDC7,sp|O00311|CDC7_HUMAN,Cell division cycle 7-related protein kinase,574,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,0.0,0.0,0.0,0 min
O00329,PK3CD_HUMAN,PIK3CD,sp|O00329|PK3CD_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",1044,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.452908821544277,-13.452908821544277,0 min
O00399,DCTN6_HUMAN,DCTN6,sp|O00399|DCTN6_HUMAN,Dynactin subunit 6,190,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.535650523338383,14.185177034792938,1.350473488545445,0 min
O00410,IPO5_HUMAN,IPO5,sp|O00410|IPO5_HUMAN,Importin-5,1097,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.304833547733097,17.136557922228494,0.1682756255046023,0 min
O00411,RPOM_HUMAN,POLRMT,sp|O00411|RPOM_HUMAN,"DNA-directed RNA polymerase, mitochondrial",1230,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.687632769083763,-13.687632769083763,0 min
O00418,EF2K_HUMAN,EEF2K,sp|O00418|EF2K_HUMAN,Eukaryotic elongation factor 2 kinase,725,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.273643076844042,-14.273643076844042,0 min
O00425,IF2B3_HUMAN,IGF2BP3,sp|O00425|IF2B3_HUMAN,Insulin-like growth factor 2 mRNA-binding protein 3,579,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.935074210560057,14.96286230471505,0.9722119058450058,0 min
O00429,DNM1L_HUMAN,DNM1L,sp|O00429|DNM1L_HUMAN,Dynamin-1-like protein,736,Homo sapiens,1:Experimental evidence at protein level,0.9851,0.999,15.982449298375725,15.5418465129143,0.44060278546142406,0 min
O00442,RTCA_HUMAN,RTCA,sp|O00442|RTCA_HUMAN,RNA 3'-terminal phosphate cyclase,366,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.139638800345447,14.340287559586057,0.799351240759389,0 min
O00443,P3C2A_HUMAN,PIK3C2A,sp|O00443|P3C2A_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,1686,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
O00471,EXOC5_HUMAN,EXOC5,sp|O00471|EXOC5_HUMAN,Exocyst complex component 5,708,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.664915551089791,-13.664915551089791,0 min
O00479,HMGN4_HUMAN,HMGN4,sp|O00479|HMGN4_HUMAN,High mobility group nucleosome-binding domain-containing protein 4,90,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,13.123238910284748,12.543574566003747,0.5796643442810012,0 min
O00483,NDUA4_HUMAN,NDUFA4,sp|O00483|NDUA4_HUMAN,Cytochrome c oxidase subunit NDUFA4,81,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
O00487,PSDE_HUMAN,PSMD14,sp|O00487|PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14,310,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.505781399268844,16.783483000313073,-0.27770160104422814,0 min
O00488,ZN593_HUMAN,ZNF593,sp|O00488|ZN593_HUMAN,Zinc finger protein 593,134,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
O00505,IMA4_HUMAN,KPNA3,sp|O00505|IMA4_HUMAN,Importin subunit alpha-4,521,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.033417193921082,16.10114358820977,-0.06772639428868743,0 min
O00512,BCL9_HUMAN,BCL9,sp|O00512|BCL9_HUMAN,B-cell CLL/lymphoma 9 protein,1426,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,13.416536035221474,0.0,13.416536035221474,0 min
O00522,KRIT1_HUMAN,KRIT1,sp|O00522|KRIT1_HUMAN,Krev interaction trapped protein 1,736,Homo sapiens,1:Experimental evidence at protein level,0.9994,0.999,0.0,0.0,0.0,0 min
O00541,PESC_HUMAN,PES1,sp|O00541|PESC_HUMAN,Pescadillo homolog,588,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.016483065864378,16.2157646586765,-0.19928159281212032,0 min
O00560,SDCB1_HUMAN,SDCBP,sp|O00560|SDCB1_HUMAN,Syntenin-1,298,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.131332289018992,14.046069885941609,2.085262403077383,0 min
O00566,MPP10_HUMAN,MPHOSPH10,sp|O00566|MPP10_HUMAN,U3 small nucleolar ribonucleoprotein protein MPP10,681,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.307795285946765,15.105095986534334,0.2026992994124317,0 min
O00567,NOP56_HUMAN,NOP56,sp|O00567|NOP56_HUMAN,Nucleolar protein 56,594,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.48141695328551,16.453621425054855,0.02779552823065501,0 min
O00571,DDX3X_HUMAN,DDX3X,sp|O00571|DDX3X_HUMAN,ATP-dependent RNA helicase DDX3X,662,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.350826984446375,17.02859224489809,0.32223473954828563,0 min
O00584,RNT2_HUMAN,RNASET2,sp|O00584|RNT2_HUMAN,Ribonuclease T2,256,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.859605589679681,-14.859605589679681,0 min
O00629,IMA3_HUMAN,KPNA4,sp|O00629|IMA3_HUMAN,Importin subunit alpha-3,521,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.341107707778066,15.85676583300855,-0.5156581252304839,0 min
O00743,PPP6_HUMAN,PPP6C,sp|O00743|PPP6_HUMAN,Serine/threonine-protein phosphatase 6 catalytic subunit,305,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.219328689147858,15.521747032664718,0.6975816564831394,0 min
O00746,NDKM_HUMAN,NME4,sp|O00746|NDKM_HUMAN,"Nucleoside diphosphate kinase, mitochondrial",187,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.419771469946388,15.378850324754703,0.040921145191685326,0 min
O00750,P3C2B_HUMAN,PIK3C2B,sp|O00750|P3C2B_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit beta,1634,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,0 min
O00762,UBE2C_HUMAN,UBE2C,sp|O00762|UBE2C_HUMAN,Ubiquitin-conjugating enzyme E2 C,179,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.492165896810443,15.467435773807608,0.024730123002834503,0 min
O00764,PDXK_HUMAN,PDXK,sp|O00764|PDXK_HUMAN,Pyridoxal kinase,312,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.244120218528074,15.155481287851389,-0.9113610693233145,0 min
O00767,SCD_HUMAN,SCD,sp|O00767|SCD_HUMAN,Stearoyl-CoA desaturase,359,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.534769153649417,-14.534769153649417,0 min
O14497,ARI1A_HUMAN,ARID1A,sp|O14497|ARI1A_HUMAN,AT-rich interactive domain-containing protein 1A,2285,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.191123811946476,15.658489689172182,0.5326341227742937,0 min
O14519,CDKA1_HUMAN,CDK2AP1,sp|O14519|CDKA1_HUMAN,Cyclin-dependent kinase 2-associated protein 1,115,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.225424141303947,14.862204755376895,0.36321938592705116,0 min
O14531,DPYL4_HUMAN,DPYSL4,sp|O14531|DPYL4_HUMAN,Dihydropyrimidinase-related protein 4,572,Homo sapiens,1:Experimental evidence at protein level,0.9994,0.999,0.0,0.0,0.0,0 min
O14545,TRAD1_HUMAN,TRAFD1,sp|O14545|TRAD1_HUMAN,TRAF-type zinc finger domain-containing protein 1,582,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.83219628203945,12.892238915576746,1.9399573664627034,0 min
O14556,G3PT_HUMAN,GAPDHS,sp|O14556|G3PT_HUMAN,"Glyceraldehyde-3-phosphate dehydrogenase, testis-specific",408,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9979,0.0,0.0,0.0,0 min
O14561,ACPM_HUMAN,NDUFAB1,sp|O14561|ACPM_HUMAN,"Acyl carrier protein, mitochondrial",156,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.244727027720685,15.118102392242337,0.12662463547834868,0 min
O14562,UBFD1_HUMAN,UBFD1,sp|O14562|UBFD1_HUMAN,Ubiquitin domain-containing protein UBFD1,309,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.639983051101275,14.732783100722019,0.9071999503792565,0 min
O14569,C56D2_HUMAN,CYB561D2,sp|O14569|C56D2_HUMAN,Transmembrane reductase CYB561D2,222,Homo sapiens,1:Experimental evidence at protein level,0.9319,0.999,0.0,0.0,0.0,0 min
O14579,COPE_HUMAN,COPE,sp|O14579|COPE_HUMAN,Coatomer subunit epsilon,308,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.795670241153562,16.715193584857946,0.08047665629561607,0 min
O14602,IF1AY_HUMAN,EIF1AY,sp|O14602|IF1AY_HUMAN,"Eukaryotic translation initiation factor 1A, Y-chromosomal",144,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.73372248320148,15.596424885556726,0.13729759764475524,0 min
O14610,GBGT2_HUMAN,GNGT2,sp|O14610|GBGT2_HUMAN,Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-T2,69,Homo sapiens,2:Experimental evidence at transcript level,0.9719,0.999,0.0,0.0,0.0,0 min
O14618,CCS_HUMAN,CCS,sp|O14618|CCS_HUMAN,Copper chaperone for superoxide dismutase,274,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.765029117801015,0.0,14.765029117801015,0 min
O14641,DVL2_HUMAN,DVL2,sp|O14641|DVL2_HUMAN,Segment polarity protein dishevelled homolog DVL-2,736,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.58273615929714,-14.58273615929714,0 min
O14656,TOR1A_HUMAN,TOR1A,sp|O14656|TOR1A_HUMAN,Torsin-1A,332,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.611925911966631,-14.611925911966631,0 min
O14657,TOR1B_HUMAN,TOR1B,sp|O14657|TOR1B_HUMAN,Torsin-1B,336,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.496837303613589,-14.496837303613589,0 min
O14672,ADA10_HUMAN,ADAM10,sp|O14672|ADA10_HUMAN,Disintegrin and metalloproteinase domain-containing protein 10,748,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.375259064404617,15.064140674287751,0.3111183901168655,0 min
O14681,EI24_HUMAN,EI24,sp|O14681|EI24_HUMAN,Etoposide-induced protein 2.4 homolog,340,Homo sapiens,1:Experimental evidence at protein level,0.9494,0.9982,0.0,0.0,0.0,0 min
